folder,afm2,afm3,afm,fm
ph4,-2367.74973,-2367.750563,-2367.753544,-2367.753544
ph5,-2367.749749,-2367.750577,-2367.753446,-2367.753446
ph6,-2367.748692,-2367.749449,-2367.752624,-2367.752624
ph7,-2367.74836,-2367.749215,-2367.751941,-2367.751941
ph8,-2367.749015,-2367.749952,-2367.752869,-2367.752869
ph9,-2367.749029,-2367.749701,-2367.752594,-2367.752594
ph10,-2367.749563,-2367.750401,-2367.753371,-2367.753371
ph11,-2367.74942,-2367.750202,-2367.75301,-2367.75301
ph12,-2367.74828,-2367.749205,-2367.751895,-2367.751895
ph13,-2367.74832,-2367.749151,-2367.752155,-2367.752155
ph14,-2367.747053,-2367.747894,-2367.750746,-2367.750746
ph30,-2367.738715,-2367.739595,-2367.742009,-2367.742009
ph17,-2367.74474,-2367.745382,-2367.748287,-2367.748287
ph18,-2367.745248,-2367.746027,-2367.74913,-2367.74913
ph19,-2367.742308,-2367.742496,-2367.746755,-2367.746755
ph20,-2367.744727,-2367.745381,-2367.748234,-2367.748234
ph21,-2367.743639,-2367.744639,-2367.747076,-2367.747076
ph22,-2367.743332,-2367.744126,-2367.746989,-2367.746989
ph23,-2367.74176,-2367.742241,-2367.745503,-2367.745503
ph24,-2367.740085,-2367.740548,-2367.744221,-2367.744221
ph25,-2367.737509,-2367.737889,-2367.741779,-2367.741779
ph26,-2367.738901,-2367.73979,-2367.742392,-2367.742392
ph27,-2367.740942,-2367.741618,-2367.744892,-2367.744892
ph29,-2367.741533,-2367.742359,-2367.745333,-2367.745333
ph30,-2367.738715,-2367.739595,-2367.742009,-2367.742009
ph31,-2367.740527,-2367.741631,-2367.744019,-2367.744019
ph32,-2367.742568,-2367.74335,-2367.745691,-2367.745691
ph33,-2367.735575,-2367.736368,-2367.739555,-2367.739555
ph41,-2367.732831,-2367.733395,-2367.736318,-2367.736318
ph42,-2367.73048,-2367.73094,-2367.733716,-2367.733716
ph43,-2367.729261,-2367.730209,-2367.733197,-2367.733197
ph46,-2367.726881,-2367.728084,-2367.730794,-2367.730794
ph47,-2367.725784,-2367.726671,-2367.729509,-2367.729509
ph48,-2367.722278,-2367.723477,-2367.725127,-2367.725127
ph49,-2367.721842,-2367.723106,-2367.724383,-2367.724383
ph55,-2367.719034,-2367.720343,-2367.723077,-2367.723077
ph56,-2367.70589,-2367.707,-2367.712719,-2367.712719
ph57,-2367.715053,-2367.716818,-2367.718912,-2367.718912
ph58,-2367.715689,-2367.716715,-2367.721054,-2367.721054
ph59,-2367.7181,-2367.719006,-2367.721319,-2367.721319
